spStage,n,notes
alpheidae_zoea1,1,
amphipod_adult,14,
annelid_setiger,1,"change species to ""polychaete"""
ascidian_eggcase,1,
ascidian_larva,1,
ascidian_tadpole,3,"rename all ocurrences to ""larva"" to match entry above"
asterinidae_brachiolaria,1,
asteroidea_bipinnaria,1,
aurelia.aureta_medusa,1,"change to ""medusazoa"" species"
aurelia.spp_medusa,1,"change to ""medusazoa"" species"
balanus.balanus_cyprid,2,
balanus.balanus_nauplius,1,
balanus.balanus_zoea4.5,1,
balanus.crenatus_cyprid,28,
balanus.crenatus_nauplius,4,"check entries for naupliar stage, if no stage is listed for the nauplius, make an educated guess based on listing of other organisms on the sheet or assume 4.5"
balanus.crenatus_nauplius 4.5,1,remove space between nauplius and 4.5
balanus.crenatus_nauplius1.3,1,"change to 2.3 (we'll probably call these ""early"" and 4.5 will be ""late"")"
balanus.crenatus_nauplius2.3,17,
balanus.crenatus_nauplius4.5,21,
balanus.glandula_cyprid,8,
balanus.glandula_nauplius,2,"check entries for naupliar stage, if no stage is listed, make an educated guess or assume 2.3"
balanus.glandula_nauplius2.3,5,
balanus.glandula_nauplius4.5,1,
balanus.improvisus_cyprid,2,
balanus.improvisus_nauplius,1,"check entry for naupliar stage, if no stage is listed, make an educated guess or assume 4.5"
balanus.improvisus_nauplius4.5,1,
balanus.nubilus_cyprid,5,
balanus.nubilus_nauplius2.3,1,
balanus.nubilus_nauplius4.5,1,
balanus.spp_cyprid,1,"check plankton datasheet for cruise 431, can we make an educated guess about the identity of these balanoids? Other balanus species are listed by name for this sample, why not these? Same for balanus.spp_nauplius below"
balanus.spp_nauplius,1,
bivalve_juvenile,1,"change stage to ""umbo"""
bivalve_late larva,2,"change stage to ""umbo"""
bivalve_trochophore,1,
bivalve_umbo,26,
bivalve_veliger,3,
brachiopod_larva,2,
brachiopod_post.larvae,1,"change to ""larva"", we'll lump these"
brachyuran_megalopa,1,
brachyuran_zoea,1,"change to ""zoea1.2"", we'll lump with the line below"
brachyuran_zoea1.2,1,
bryozoan_adult,1,
bryozoan_cyphonautes,2,"change to ""larva"""
bryozoan_larva,7,
calanoid_adult,40,
calyptopsis_furcilia,1,"change species to ""euphausiid"
cancer.gracilis_zoea1,2,"change to ""zoea1.2"""
cancer.gracilis_zoea2,1,"change to ""zoea1.2"""
cancer.magister_megalopa,1,
cancer.productus_zoea2,1,
caprellid_adult,2,
carcinus.maenus_zoea1.3,1,
chaetognath_adult,15,
chthalamus.spp_cyprid,1,check species spelling
chthalamus.spp_nauplius4.5,1,check species spelling
chthamalus.spp_cyprid,22,
chthamalus.spp_nauplius,5,"check for stage informatio, if no information make an educated guess or assume 4.5"
chthamalus.spp_nauplius1.3,2,"change to ""nauplius2.3"""
chthamalus.spp_nauplius2.3,7,
chthamalus.spp_nauplius4.5,12,
chthamalus.spp_nauplius4.6,1,"change to ""nauplius4.5"""
cladoceran_adult,1,podon or evadne?
cladonema.spp_hydromedusa,1,"change species to ""medusazoa"" stage to ""medusa"""
copepod_adult,2,"change species to calanoid, unless another species is better"
copepod_metanaup,1,"change stage to ""metanauplius"""
copepod_metanauplius,19,
copepod_metatrochophore,1,"change stage to ""metanauplius"""
copepod_nauplius,19,
copepod_nauplius2.3,1,"change stage to ""nauplius"""
copepod_nauplius4.5,1,"change stage to ""nauplius"""
crangonid_zoea,1,
crangonidae_zoea1,1,"change stage to ""zoea"""
crustacean_adult,1,
cryptolithodes.spp_zoea1.3,1,
cryptolithodes.typicus_zoea1,1,"change species to ""cryptolithodes.spp"", stage to ""zoea1.3"" to lump with line above"
ctenophore_medusa,6,
cyclopoid_adult,36,
diatom_adult,34,
egg_embryo,4,"combine groups below by changing species monikers to either ""egg.small"", ""egg.large"", or ""egg.mass"" we have too many different types of eggs here!"
egg.case_embryo,1,
egg.fish_embryo,6,
egg.invertebrate_embryo,3,
egg.large_embryo,26,
egg.mass_embryo,8,
egg.oval_embryo,2,
egg.sac_embryo,1,
