,x,speed
1,NA,NA
5,7.2,24
32,7.573333333,24
9,7.721428571,24
4,7.886111111,24
25,9.66,28
23,10.62333333,30
18,11.59666667,34
6,11.88888889,34
17,12.26333333,36
34,12.33333333,36
16,12.41333333,36
2,13.18958333,36
3,13.79166667,38
15,14.67333333,40
11,14.79333333,40
29,15.60666667,42
14,15.79722222,42
36,16.68333333,44
26,18.93,49
27,19.07916667,52
33,19.09,52
21,19.73,52
28,19.88055556,52
7,22.67333333,62
37,24.45,70
31,25.37666667,75
22,26.42,75
8,27.27333333,75
35,27.56,75
19,27.59333333,75
24,28.91333333,75
12,31.75,80
10,33.05333333,80
30,50.09666667,130
20,50.49666667,130
13,68.46,180
