tow_cast,date,observation,data_collected,data_entered,start_lat,start_lon,end_lat,end_lon,start_time_pdt,end_time,start_flow,end_flow,depth_ft,note,location,depth
1,2019-07-18T07:00:00Z,ctd_profile,TRUE,TRUE,38.3273,-123.0834,NA,NA,12:29:00,NA,NA,NA,57,NA,NA,NA
2,2019-07-18T07:00:00Z,ctd_profile,TRUE,TRUE,38.32828,-123.07822,NA,NA,12:34:00,NA,NA,NA,47,NA,NA,NA
121,2019-07-18T07:00:00Z,mt,TRUE,TRUE,38.33063,-123.0752,38.3299,-123.07565,12:46:00,12:54:00,737726,NA,20,didn't record end FM,front,bottom
122,2019-07-18T07:00:00Z,mt,TRUE,TRUE,38.3299,-123.07565,NA,NA,12:54:00,13:00:00,906241,NA,20,didn't record end FM,front,surface
131,2019-07-18T07:00:00Z,mt,TRUE,TRUE,38.33394,-123.08036,38.33484,-123.08025,13:18:00,13:23:00,NA,NA,51,didn't record FM,offshore,bottom
132,2019-07-18T07:00:00Z,mt,TRUE,TRUE,38.33484,-123.08025,NA,NA,13:23:00,13:30:00,NA,NA,65,didn't record FM,offshore,surface
1,2019-07-18T07:00:00Z,su,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2019-07-18T07:00:00Z,su,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2019-08-15T07:00:00Z,ctd_underway,TRUE,TRUE,NA,NA,NA,NA,10:45:00,11:05:00,NA,NA,NA,NA,NA,NA
321,2019-08-15T07:52:58Z,mt,TRUE,TRUE,38.32466,-123.0817,38.32544,-123.0843,11:47:00,11:53:00,392276,395115,NA,didn't record depths this cruise,front,bottom
322,2019-08-15T07:00:00Z,mt,TRUE,TRUE,38.32544,-123.0843,38.3261,-123.08662,11:53:00,11:59:00,283832,286424,NA,didn't record depths this cruise,front,surface
