date,sample,site,location,depth,split,species,total,count,stage,species_stage
7/18/19,131,Mussel Point,offshore,bottom,32,B.improvisus,32,1,nauplius_4.5,B. improvisus_zoea 4-5
7/18/19,131,Mussel Point,offshore,bottom,32,Copepod,32,1,metanauplius,Copepod_metanauplius
7/18/19,131,Mussel Point,offshore,bottom,32,Daphnia,32,1,,Daphnia_
7/18/19,131,Mussel Point,offshore,bottom,32,Euphausid,32,1,furcilia,Krill_furcilia
7/18/19,131,Mussel Point,offshore,bottom,32,Fish,32,1,egg,Fish eggs_
7/18/19,131,Mussel Point,offshore,bottom,32,Gastropod,32,1,juvenile,Gastropods (reg)_
7/18/19,131,Mussel Point,offshore,bottom,32,Polychaete,32,1,,Polychaete_
7/18/19,131,Mussel Point,offshore,bottom,32,B.crenatus,64,2,cyprid,B. crenatus_cyprids
7/18/19,131,Mussel Point,offshore,bottom,32,C.dalli.fissus,64,2,cyprid,C. dalli/fissus_cyprids
7/18/19,131,Mussel Point,offshore,bottom,32,Diatom,64,2,,Diatoms_
7/18/19,131,Mussel Point,offshore,bottom,32,Larvacean,64,2,adult,Larvaceans_
7/18/19,131,Mussel Point,offshore,bottom,32,Harpactacoid,288,9,adult,Harpacticoids_
7/18/19,131,Mussel Point,offshore,bottom,32,B.crenatus,640,20,nauplius_4.5,B. crenatus_naup 4-5
7/18/19,131,Mussel Point,offshore,bottom,32,Cyclopoid,864,27,adult,Cyclopoids_
7/18/19,131,Mussel Point,offshore,bottom,32,Evadne,1152,36,adult,Evadne_
7/18/19,131,Mussel Point,offshore,bottom,32,Podon,4000,125,adult,Podons_
7/18/19,131,Mussel Point,offshore,bottom,32,Calanoid,10880,340,adult,Calanoids_
7/18/19,132,Mussel Point,offshore,surface,64,Amphipod,64,1,adult,Amphipod_
7/18/19,132,Mussel Point,offshore,surface,64,Euphausid,192,3,furcilia,Euphausid_furilia
7/18/19,132,Mussel Point,offshore,surface,64,Hippolytidae,192,3,,Hippolytidae_
7/18/19,132,Mussel Point,offshore,surface,64,Lithothidae,192,3,,Lithothidae_
7/18/19,132,Mussel Point,offshore,surface,64,Majidae,192,3,,Majidae_
7/18/19,132,Mussel Point,offshore,surface,64,Gastropod,256,4,juvenile,Gastropod (reg)_
