date,tow,station,depth,Amphipod,Balanus_cyprid,Balanus_nauplius,Barnacle_molt,Bivalve_late_larvae,Bivalve_juvenile,Bryozoan,Calanoid_adult,Caprellid_adult,Carangid_zoea,Chaetognath,Copepod_metanauplius,Copepod_nauplius,Crangonid_zoea,CthamalusDalli_cyprid,CthalamusDalli_nauplius,Cyclopoid_adult,Daphnia,Diatom,Egg_mass,EmeritaAnaloga_zoea,Euphausid_colyptopsis,Euphausid_furcilia,Evadne,Fish_egg,Foram,Gastropod_adult,Grapsid_zoea,Harpacticoid_adult,Hippolyidae,Hydroid_adult,Isopod,Jellyfish,Larvacean,Lithodidae_zoea,Littorina_egg_case,Majid_zoea,Ophidioid_pluteus,PachygrapsisCrassipes_zoea,Phoronid_larva,Pinnotherid_zoea,Podon,Polychaete_metatrocophore,Polychaete_trocophore,Polychaete_setager,Porcellanidae_zoea,Shrimp_zoea,Shrimp_juvenile,Urchin_juvenile,Xanthid_zoea,Unknown_head,Unknown_pouch
7/18/19,121,front,deep,16,3072,20992,,768,,,142592,,,16,2560,,,,256,3328,,9216,,32,,512,24832,256,,1024,,,,32,,,2048,48,,,,256,,,11264,,,48,,,,,,,
7/18/19,122,front,top,,216,2640,,64,,40,49408,64,,64,1088,192,,,192,1216,,1792,,,320,,4352,16,8,64,8,,,64,,64,96,,,,,,64,,3904,,,64,,,,8,,,
7/18/19,131,offshore,deep,,64,672,,,,,10880,,,8,32,,,64,,864,32,64,,,,16,1152,32,,32,,288,,,,,64,,,,,,,,4000,,,32,,,,,,,
7/18/19,132,offshore,top,8,768,192,,8,,,18944,,,8,512,,16,64,32,1088,,48,,64,256,192,1664,64,,256,,,24,,,64,384,24,,24,,8,8,40,6208,,,48,,16,,,16,,
8/15/19,312,onshore,top,16,128,2240,24,16,,64,35328,,,128,64,,,,,2880,,40512,128,,,,13184,896,256,128,,16,,,64,,2880,,,,,,160,64,27200,,,64,8,,,,,,
8/15/19,311,onshore,deep,,1408,27328,,512,16,,45440,16,64,16,128,16,,,,576,,54720,112,,,,15872,2688,64,448,,320,64,,,,3200,128,64,,,,768,64,35968,,,1088,,,,,,,
8/15/19,322,front,top,,384,256,,512,,,86272,,,,,,,,,256,,41984,,,32,,10473,128,32,32,,,,,32,,1664,32,,,,,128,,10726,,,128,,,,,,,
8/15/19,321,front,deep,,1280,1792,,256,,,44288,,,,,,,,,2176,,29312,,,,,25984,384,,256,,384,,,32,,640,,,,,,32,,57344,,,128,,,,,,,
8/15/19,331,offshore,deep,,512,128,,640,,,104320,,,,,,,,,256,,33152,,,,32,77952,96,,,,,,,32,,1408,512,,,,,256,,71424,,,128,,,,,,,
8/15/19,332,offshore,top,,512,256,,1408,,,101888,,,256,32,,,,,1280,,67072,128,,,,112384,128,,,,,,,,,1664,,,,,,128,,84096,,,32,32,,,,,,
9/20/19,431,offshore,deep,256,1536,1152,,2560,,728,213248,,,356,13184,,,,384,64,,17664,,,,,6272,128,128,384,96,728,640,32,128,384,2048,,,,,,512,256,23936,256,,4480,128,,,,,1792,128
9/20/19,432,offshore,top,,288,256,,1280,,128,40320,,,,8576,,,128,896,384,,18688,,,,,5376,128,256,64,,640,,,,32,1664,,,,128,,128,128,16000,384,128,128,,,,,,3968,
