 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 07/18/2019   19:37:46     -0.125    12.0544   0.174081     -0.124     1.1953  1000.4253
 07/18/2019   19:37:48     -0.125    12.0673   0.190185     -0.124     1.3115  1000.5142
 07/18/2019   19:37:50     -0.125    12.0763   0.146778     -0.124     0.9988  1000.2697
 07/18/2019   19:37:52     -0.126    12.0827   0.122475     -0.125     0.8259  1000.1343
 07/18/2019   19:37:54     -0.120    11.9087   0.201037     -0.118     1.4242  1000.6197
 07/18/2019   19:37:56      0.575    11.0980   3.500734      0.570    31.0262  1023.6746
 07/18/2019   19:37:58      0.937    11.0954   3.808181      0.930    33.9543  1025.9483
 07/18/2019   19:38:00      1.072    11.0836   3.808760      1.064    33.9708  1025.9639
 07/18/2019   19:38:02      0.869    11.0758   3.805308      0.862    33.9439  1025.9434
 07/18/2019   19:38:04      1.016    11.1339   3.809703      1.009    33.9338  1025.9257
 07/18/2019   19:38:06      0.961    11.0835   3.809938      0.954    33.9827  1025.9727
 07/18/2019   19:38:08      1.015    11.1004   3.807778      1.008    33.9456  1025.9409
 07/18/2019   19:38:10      0.968    11.0820   3.806771      0.960    33.9526  1025.9496
 07/18/2019   19:38:12      0.961    11.0957   3.809285      0.953    33.9649  1025.9566
 07/18/2019   19:38:14      1.014    11.0637   3.811998      1.007    34.0215  1026.0067
 07/18/2019   19:38:16      0.998    11.0673   3.808787      0.990    33.9863  1025.9785
 07/18/2019   19:38:18      0.918    11.1265   3.809917      0.911    33.9428  1025.9336
 07/18/2019   19:38:20      1.007    11.0702   3.806693      0.999    33.9627  1025.9597
 07/18/2019   19:38:22      0.967    11.0967   3.809240      0.960    33.9636  1025.9554
 07/18/2019   19:38:24      1.016    11.1537   3.812746      1.008    33.9458  1025.9315
 07/18/2019   19:38:26      0.993    11.1367   3.811274      0.986    33.9469  1025.9353
 07/18/2019   19:38:28      0.983    11.1712   3.814500      0.976    33.9470  1025.9291
 07/18/2019   19:38:30      0.997    11.0695   3.800375      0.990    33.9005  1025.9113
 07/18/2019   19:38:32      0.979    10.9012   3.781255      0.972    33.8657  1025.9143
 07/18/2019   19:38:34      0.950    10.8933   3.780521      0.943    33.8657  1025.9156
 07/18/2019   19:38:36      0.949    10.8940   3.780558      0.942    33.8655  1025.9153
 07/18/2019   19:38:38      1.020    10.8839   3.779589      1.012    33.8651  1025.9171
 07/18/2019   19:38:40      0.932    10.8846   3.779580      0.926    33.8644  1025.9160
 07/18/2019   19:38:42      0.918    10.8891   3.780230      0.911    33.8667  1025.9170
 07/18/2019   19:38:44      0.986    10.8661   3.778118      0.979    33.8669  1025.9215
 07/18/2019   19:38:46      0.974    10.8386   3.775259      0.967    33.8637  1025.9239
 07/18/2019   19:38:48      0.910    10.8389   3.775513      0.903    33.8661  1025.9253
 07/18/2019   19:38:50      0.961    10.8727   3.778658      0.954    33.8661  1025.9197
 07/18/2019   19:38:52      0.958    10.8950   3.780453      0.951    33.8634  1025.9136
 07/18/2019   19:38:54      0.962    10.9563   3.786322      0.955    33.8653  1025.9041
 07/18/2019   19:38:56      0.962    10.9663   3.787145      0.954    33.8643  1025.9015
 07/18/2019   19:38:58      0.989    10.9686   3.787318      0.982    33.8638  1025.9009
 07/18/2019   19:39:00      0.944    10.9728   3.787723      0.937    33.8640  1025.9001
 07/18/2019   19:39:02      1.034    10.9687   3.787263      1.026    33.8632  1025.9006
 07/18/2019   19:39:04      0.974    10.9612   3.786722      0.967    33.8648  1025.9028
 07/18/2019   19:39:06      0.989    10.9517   3.785774      0.981    33.8641  1025.9041
 07/18/2019   19:39:08      0.982    10.9485   3.785530      0.975    33.8647  1025.9051
 07/18/2019   19:39:10      1.000    10.9507   3.785775      0.993    33.8651  1025.9051
 07/18/2019   19:39:12      0.986    10.9412   3.784805      0.978    33.8641  1025.9060
 07/18/2019   19:39:14      1.019    10.9359   3.784377      1.011    33.8648  1025.9076
 07/18/2019   19:39:16      1.787    10.8382   3.775520      1.773    33.8664  1025.9297
 07/18/2019   19:39:18      3.031    10.4970   3.744005      3.008    33.8663  1025.9952
 07/18/2019   19:39:20      4.427    10.2828   3.724665      4.394    33.8701  1026.0415
 07/18/2019   19:39:22      5.596    10.2366   3.720905      5.555    33.8746  1026.0583
 07/18/2019   19:39:24      6.584    10.2334   3.720720      6.534    33.8753  1026.0639
 07/18/2019   19:39:26      8.004    10.1200   3.710050      7.944    33.8725  1026.0875
 07/18/2019   19:39:28      9.098     9.9017   3.690221      9.030    33.8747  1026.1310
 07/18/2019   19:39:30     10.288     9.7845   3.679832     10.210    33.8781  1026.1587
 07/18/2019   19:39:32     10.545     9.7912   3.680320     10.466    33.8766  1026.1576
 07/18/2019   19:39:34      9.312     9.8270   3.683479      9.241    33.8759  1026.1455
 07/18/2019   19:39:36      8.587     9.9857   3.698052      8.522    33.8759  1026.1155
 07/18/2019   19:39:38      7.421    10.0920   3.707544      7.365    33.8735  1026.0904
 07/18/2019   19:39:40      6.491    10.1945   3.716760      6.442    33.8716  1026.0672
 07/18/2019   19:39:42      5.489    10.2390   3.720684      5.448    33.8702  1026.0540
 07/18/2019   19:39:44      4.687    10.2699   3.723558      4.652    33.8709  1026.0455
 07/18/2019   19:39:46      3.633    10.2936   3.725626      3.606    33.8701  1026.0361
 07/18/2019   19:39:48      2.646    10.4229   3.737361      2.626    33.8685  1026.0081
 07/18/2019   19:39:50      1.692    10.6702   3.760181      1.679    33.8686  1025.9607
 07/18/2019   19:39:52      0.703    10.8557   3.777033      0.698    33.8658  1025.9212
 07/18/2019   19:39:54     -0.067    10.8821   3.775719     -0.067    33.8286  1025.8841
 07/18/2019   19:39:56     -0.120    10.8270   2.299345     -0.119    20.1449  1015.2748
 07/18/2019   19:39:58     -0.124    10.8129   0.587529     -0.123     4.4895  1003.1279
 07/18/2019   19:40:00     -0.124    10.8012   0.447005     -0.123     3.3555  1002.2472
 07/18/2019   19:40:02     -0.123    10.7790   0.364837     -0.122     2.7036  1001.7420
 07/18/2019   19:40:04     -0.123    10.7643   0.402990     -0.122     3.0079  1001.9806
 07/18/2019   19:40:05     -0.123    10.7557   0.380272     -0.122     2.8857  1001.8863
