 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 09/03/2020   18:50:55     -0.117    14.4913   0.004095     -0.116     0.0272   999.1968
 09/03/2020   18:50:57     -0.117    14.5034   0.122213     -0.116     0.7873   999.7840
 09/03/2020   18:50:59     -0.116    14.5107   0.081276     -0.115     0.5066   999.5660
 09/03/2020   18:51:01     -0.116    14.5137   0.093310     -0.115     0.5841   999.6256
 09/03/2020   18:51:03     -0.118    14.5167   0.087050     -0.117     0.5434   999.5936
 09/03/2020   18:51:05     -0.118    14.5195   0.062704     -0.117     0.3866   999.4717
 09/03/2020   18:51:07     -0.119    14.5219   0.090721     -0.118     0.5673   999.6113
 09/03/2020   18:51:09      0.243    14.3972   2.783343      0.241    22.7222  1016.6620
 09/03/2020   18:51:11      0.938    14.3784   4.073445      0.931    33.5488  1024.9907
 09/03/2020   18:51:13      0.958    14.3911   4.073303      0.951    33.5365  1024.9785
 09/03/2020   18:51:15      0.957    14.3953   4.073817      0.949    33.5376  1024.9785
 09/03/2020   18:51:17      0.928    14.3968   4.072390      0.921    33.5231  1024.9669
 09/03/2020   18:51:19      0.925    14.3977   4.073051      0.918    33.5285  1024.9708
 09/03/2020   18:51:21      0.911    14.4004   4.074410      0.904    33.5387  1024.9780
 09/03/2020   18:51:23      1.133    14.4081   4.075428      1.124    33.5412  1024.9793
 09/03/2020   18:51:25      1.109    14.4148   4.075687      1.100    33.5378  1024.9752
 09/03/2020   18:51:27      1.097    14.4226   4.076266      1.089    33.5363  1024.9723
 09/03/2020   18:51:29      1.150    14.4268   4.076477      1.141    33.5346  1024.9704
 09/03/2020   18:51:31      1.104    14.4312   4.076684      1.095    33.5328  1024.9678
 09/03/2020   18:51:33      1.122    14.4368   4.077082      1.113    33.5315  1024.9658
 09/03/2020   18:51:35      1.086    14.4412   4.077408      1.078    33.5307  1024.9641
 09/03/2020   18:51:37      1.102    14.4385   4.077491      1.093    33.5338  1024.9671
 09/03/2020   18:51:39      1.095    14.4368   4.077073      1.087    33.5314  1024.9655
 09/03/2020   18:51:41      1.108    14.4343   4.076500      1.100    33.5283  1024.9637
 09/03/2020   18:51:43      1.118    14.4371   4.076773      1.110    33.5284  1024.9633
 09/03/2020   18:51:45      1.132    14.4329   4.076383      1.123    33.5285  1024.9643
 09/03/2020   18:51:47      1.134    14.4249   4.075539      1.125    33.5277  1024.9654
 09/03/2020   18:51:49      1.102    14.4165   4.074741      1.093    33.5276  1024.9669
 09/03/2020   18:51:51      1.089    14.4044   4.073645      1.081    33.5281  1024.9698
 09/03/2020   18:51:53      1.079    14.3981   4.073000      1.071    33.5276  1024.9707
 09/03/2020   18:51:55      1.130    14.4042   4.073680      1.121    33.5285  1024.9704
 09/03/2020   18:51:57      1.137    14.4045   4.073688      1.128    33.5283  1024.9701
 09/03/2020   18:51:59      1.136    14.4125   4.074436      1.127    33.5282  1024.9684
 09/03/2020   18:52:01      1.065    14.4092   4.074063      1.057    33.5277  1024.9684
 09/03/2020   18:52:03      1.071    14.4011   4.073338      1.063    33.5281  1024.9704
 09/03/2020   18:52:05      1.119    14.4007   4.073314      1.110    33.5282  1024.9708
