filename,date,time_UTC,PrdM,temp_C,C0S/m,depth_M,salinity_psu,density
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:02,0.164,18.3661,4.530837,0.163,34.189,1024.5613
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:04,0.165,18.366,4.530915,0.164,34.1897,1024.562
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:06,0.165,18.3657,4.530794,0.164,34.189,1024.5614
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:08,0.164,18.3653,4.530835,0.163,34.1896,1024.562
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:10,0.166,18.3652,4.53078,0.165,34.1893,1024.5618
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:12,0.164,18.3649,4.530819,0.163,34.1899,1024.5623
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:14,0.163,18.3648,4.530819,0.162,34.1899,1024.5624
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:16,0.164,18.3644,4.530766,0.163,34.1898,1024.5624
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:18,0.165,18.3641,4.530757,0.164,34.19,1024.5626
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:20,0.164,18.3639,4.530837,0.163,34.1908,1024.5633
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:22,0.164,18.364,4.530954,0.163,34.1918,1024.564
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:24,0.165,18.3643,4.531039,0.164,34.1922,1024.5642
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:26,0.163,18.3645,4.531103,0.162,34.1926,1024.5645
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:28,0.165,18.3648,4.531224,0.164,34.1933,1024.5649
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:30,0.164,18.3652,4.53131,0.163,34.1937,1024.5652
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:32,0.165,18.3653,4.531339,0.164,34.1939,1024.5653
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:34,0.164,18.3654,4.531366,0.163,34.194,1024.5653
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:36,0.166,18.3658,4.531528,0.165,34.1951,1024.5661
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:38,0.164,18.3662,4.531642,0.163,34.1957,1024.5665
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:40,0.164,18.3668,4.531761,0.163,34.1962,1024.5667
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:42,0.165,18.3676,4.531974,0.164,34.1973,1024.5674
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:44,0.165,18.3684,4.532064,0.164,34.1975,1024.5673
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:46,0.163,18.3691,4.532124,0.162,34.1974,1024.567
data/environment/CTD/cleaned/Profiles//20190715_HK_026_filter_align_derive_bin.asc,07/15/2019,21:24:48,0.167,18.3696,4.532203,0.166,34.1976,1024.567
data/environment/CTD/cleaned/Profiles//20190718__032_filter_align_derive_bin.asc,07/18/2019,19:32:12,1.449,11.6131,3.845484,1.438,33.8465,1025.7722
data/environment/CTD/cleaned/Profiles//20190718__032_filter_align_derive_bin.asc,07/18/2019,19:32:14,1.282,11.6223,3.846395,1.273,33.8471,1025.7701
