 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m   Latitude  Longitude      DepSM      Sal00  Density00
 09/20/2019   16:21:58      0.315    12.6173   3.943337    0.00000    0.00000      0.313    33.8847  1025.6057
 09/20/2019   16:22:00      0.364    12.6176   3.937932    0.00000    0.00000      0.361    33.8328  1025.5656
 09/20/2019   16:22:02     -0.007    12.6617   1.444714    0.00000    0.00000     -0.007    11.8681  1008.5972
 09/20/2019   16:22:04      0.203    12.6640   3.247972    0.00000    0.00000      0.201    27.6323  1020.7668
 09/20/2019   16:22:06      0.360    12.6505   3.932929    0.00000    0.00000      0.358    33.7551  1025.4989
 09/20/2019   16:22:08      0.345    12.6525   3.933567    0.00000    0.00000      0.342    33.7595  1025.5019
 09/20/2019   16:22:10      0.358    12.6528   3.933374    0.00000    0.00000      0.355    33.7573  1025.5002
 09/20/2019   16:22:12      0.347    12.6524   3.933152    0.00000    0.00000      0.345    33.7556  1025.4989
 09/20/2019   16:22:14      0.342    12.6519   3.932990    0.00000    0.00000      0.339    33.7544  1025.4980
 09/20/2019   16:22:16      0.380    12.6514   3.930398    0.00000    0.00000      0.378    33.7301  1025.4795
 09/20/2019   16:22:18      0.401    12.6505   3.923215    0.00000    0.00000      0.398    33.6621  1025.4271
 09/20/2019   16:22:20      0.398    12.6586   3.923864    0.00000    0.00000      0.394    33.6611  1025.4247
 09/20/2019   16:22:22      0.428    12.6702   3.926258    0.00000    0.00000      0.425    33.6736  1025.4322
 09/20/2019   16:22:24      0.363    12.6799   3.929404    0.00000    0.00000      0.361    33.6951  1025.4467
 09/20/2019   16:22:26      0.435    12.6808   3.930099    0.00000    0.00000      0.432    33.7009  1025.4514
 09/20/2019   16:22:28      0.422    12.6777   3.930542    0.00000    0.00000      0.419    33.7079  1025.4574
 09/20/2019   16:22:30      0.406    12.6756   3.931090    0.00000    0.00000      0.403    33.7151  1025.4632
 09/20/2019   16:22:32      0.398    12.6753   3.932012    0.00000    0.00000      0.395    33.7241  1025.4703
 09/20/2019   16:22:34      0.431    12.6811   3.932059    0.00000    0.00000      0.428    33.7193  1025.4655
 09/20/2019   16:22:36      0.417    12.6801   3.931277    0.00000    0.00000      0.414    33.7128  1025.4606
 09/20/2019   16:22:38      0.417    12.6723   3.930276    0.00000    0.00000      0.414    33.7102  1025.4602
 09/20/2019   16:22:40      0.406    12.6596   3.928482    0.00000    0.00000      0.402    33.7044  1025.4581
 09/20/2019   16:22:42      0.421    12.6480   3.927367    0.00000    0.00000      0.418    33.7041  1025.4602
 09/20/2019   16:22:44      0.424    12.6357   3.926224    0.00000    0.00000      0.421    33.7042  1025.4627
 09/20/2019   16:22:46      0.396    12.6281   3.924815    0.00000    0.00000      0.393    33.6975  1025.4589
 09/20/2019   16:22:48      0.402    12.6012   3.922437    0.00000    0.00000      0.399    33.6988  1025.4651
 09/20/2019   16:22:50      0.433    12.5868   3.920154    0.00000    0.00000      0.430    33.6899  1025.4611
 09/20/2019   16:22:52      0.408    12.5803   3.919073    0.00000    0.00000      0.405    33.6853  1025.4587
 09/20/2019   16:22:54      0.400    12.5653   3.916279    0.00000    0.00000      0.397    33.6720  1025.4513
 09/20/2019   16:22:56      0.402    12.5451   3.915390    0.00000    0.00000      0.399    33.6816  1025.4626
 09/20/2019   16:22:58      0.413    12.5329   3.913819    0.00000    0.00000      0.409    33.6775  1025.4619
 09/20/2019   16:23:00      0.435    12.5438   3.912679    0.00000    0.00000      0.432    33.6567  1025.4438
 09/20/2019   16:23:02      0.418    12.5594   3.912433    0.00000    0.00000      0.415    33.6404  1025.4280
 09/20/2019   16:23:04      0.375    12.5585   3.911432    0.00000    0.00000      0.372    33.6316  1025.4212
 09/20/2019   16:23:06      0.428    12.5076   3.908838    0.00000    0.00000      0.425    33.6523  1025.4473
 09/20/2019   16:23:08      0.437    12.4947   3.908204    0.00000    0.00000      0.433    33.6577  1025.4541
 09/20/2019   16:23:10      0.422    12.4851   3.906474    0.00000    0.00000      0.419    33.6497  1025.4497
 09/20/2019   16:23:12      0.396    12.4772   3.905186    0.00000    0.00000      0.393    33.6445  1025.4470
 09/20/2019   16:23:14      0.402    12.4598   3.903036    0.00000    0.00000      0.399    33.6394  1025.4465
 09/20/2019   16:23:16      0.421    12.4352   3.902157    0.00000    0.00000      0.418    33.6530  1025.4618
 09/20/2019   16:23:18      0.419    12.4324   3.901136    0.00000    0.00000      0.416    33.6457  1025.4567
 09/20/2019   16:23:20      0.422    12.4385   3.900480    0.00000    0.00000      0.419    33.6339  1025.4464
 09/20/2019   16:23:22      0.418    12.4264   3.899733    0.00000    0.00000      0.415    33.6376  1025.4516
 09/20/2019   16:23:24      0.402    12.4126   3.899545    0.00000    0.00000      0.399    33.6481  1025.4623
 09/20/2019   16:23:26      0.404    12.4058   3.898469    0.00000    0.00000      0.401    33.6439  1025.4604
 09/20/2019   16:23:28      0.426    12.3849   3.896444    0.00000    0.00000      0.424    33.6431  1025.4639
 09/20/2019   16:23:30      0.411    12.3852   3.895154    0.00000    0.00000      0.408    33.6305  1025.4540
 09/20/2019   16:23:32      0.408    12.3786   3.894035    0.00000    0.00000      0.405    33.6256  1025.4514
 09/20/2019   16:23:34      0.402    12.3790   3.893788    0.00000    0.00000      0.399    33.6229  1025.4493
 09/20/2019   16:23:36      0.412    12.3718   3.892139    0.00000    0.00000      0.409    33.6135  1025.4434
 09/20/2019   16:23:38      0.418    12.3571   3.890639    0.00000    0.00000      0.415    33.6122  1025.4452
 09/20/2019   16:23:40      0.424    12.3693   3.890394    0.00000    0.00000      0.421    33.5989  1025.4326
 09/20/2019   16:23:42      0.394    12.3440   3.888518    0.00000    0.00000      0.391    33.6036  1025.4409
 09/20/2019   16:23:44      0.414    12.3096   3.886758    0.00000    0.00000      0.411    33.6175  1025.4584
 09/20/2019   16:23:46      0.431    12.3003   3.885677    0.00000    0.00000      0.428    33.6154  1025.4586
 09/20/2019   16:23:48      0.403    12.3045   3.885124    0.00000    0.00000      0.400    33.6062  1025.4506
 09/20/2019   16:23:50      0.404    12.2963   3.884441    0.00000    0.00000      0.401    33.6071  1025.4528
 09/20/2019   16:23:52      0.411    12.2898   3.883990    0.00000    0.00000      0.408    33.6085  1025.4552
 09/20/2019   16:23:54      0.428    12.2850   3.883746    0.00000    0.00000      0.425    33.6105  1025.4578
 09/20/2019   16:23:56      0.437    12.2738   3.883423    0.00000    0.00000      0.434    33.6174  1025.4653
 09/20/2019   16:23:58      0.414    12.2751   3.882777    0.00000    0.00000      0.411    33.6100  1025.4592
 09/20/2019   16:24:00      0.399    12.2739   3.882022    0.00000    0.00000      0.396    33.6038  1025.4545
 09/20/2019   16:24:02      0.418    12.2778   3.881906    0.00000    0.00000      0.415    33.5992  1025.4503
 09/20/2019   16:24:04      0.433    12.2753   3.881601    0.00000    0.00000      0.430    33.5985  1025.4503
 09/20/2019   16:24:06      0.429    12.2746   3.881625    0.00000    0.00000      0.426    33.5994  1025.4511
 09/20/2019   16:24:08      0.409    12.2750   3.880924    0.00000    0.00000      0.406    33.5922  1025.4454
 09/20/2019   16:24:10      0.419    12.2695   3.880570    0.00000    0.00000      0.416    33.5938  1025.4477
 09/20/2019   16:24:12      0.417    12.2674   3.880524    0.00000    0.00000      0.415    33.5952  1025.4492
 09/20/2019   16:24:14      0.417    12.2677   3.880726    0.00000    0.00000      0.414    33.5968  1025.4504
 09/20/2019   16:24:16      0.412    12.2693   3.880984    0.00000    0.00000      0.409    33.5980  1025.4510
 09/20/2019   16:24:18      0.433    12.2727   3.881348    0.00000    0.00000      0.430    33.5984  1025.4508
 09/20/2019   16:24:20      0.416    12.2761   3.881690    0.00000    0.00000      0.413    33.5986  1025.4502
 09/20/2019   16:24:22      0.412    12.2812   3.881917    0.00000    0.00000      0.409    33.5963  1025.4474
 09/20/2019   16:24:24      0.390    12.2854   3.882174    0.00000    0.00000      0.388    33.5949  1025.4454
 09/20/2019   16:24:26      0.433    12.2894   3.882322    0.00000    0.00000      0.430    33.5928  1025.4432
 09/20/2019   16:24:28      0.425    12.2937   3.882651    0.00000    0.00000      0.422    33.5920  1025.4418
 09/20/2019   16:24:30      0.402    12.2966   3.882916    0.00000    0.00000      0.399    33.5921  1025.4411
 09/20/2019   16:24:32      0.394    12.2988   3.883257    0.00000    0.00000      0.391    33.5934  1025.4417
 09/20/2019   16:24:34      0.440    12.3028   3.883442    0.00000    0.00000      0.437    33.5916  1025.4398
 09/20/2019   16:24:36      0.418    12.3063   3.883674    0.00000    0.00000      0.415    33.5906  1025.4382
 09/20/2019   16:24:38      0.423    12.3089   3.883841    0.00000    0.00000      0.420    33.5899  1025.4372
 09/20/2019   16:24:40      0.408    12.3110   3.884298    0.00000    0.00000      0.405    33.5924  1025.4387
 09/20/2019   16:24:42      0.406    12.3153   3.884754    0.00000    0.00000      0.403    33.5930  1025.4383
 09/20/2019   16:24:44      0.405    12.3183   3.885087    0.00000    0.00000      0.402    33.5935  1025.4381
 09/20/2019   16:24:46      0.438    12.3221   3.885351    0.00000    0.00000      0.435    33.5927  1025.4369
 09/20/2019   16:24:48      0.415    12.3236   3.885735    0.00000    0.00000      0.412    33.5950  1025.4383
 09/20/2019   16:24:50      0.431    12.3244   3.885976    0.00000    0.00000      0.428    33.5966  1025.4394
 09/20/2019   16:24:52      0.398    12.3274   3.886325    0.00000    0.00000      0.395    33.5973  1025.4393
 09/20/2019   16:24:54      0.418    12.3312   3.886487    0.00000    0.00000      0.415    33.5954  1025.4372
 09/20/2019   16:24:56      0.402    12.3328   3.886554    0.00000    0.00000      0.399    33.5947  1025.4362
 09/20/2019   16:24:58      0.432    12.3341   3.886716    0.00000    0.00000      0.429    33.5951  1025.4364
 09/20/2019   16:25:00      0.415    12.3357   3.886854    0.00000    0.00000      0.412    33.5949  1025.4359
 09/20/2019   16:25:02      0.388    12.3399   3.887074    0.00000    0.00000      0.386    33.5933  1025.4337
 09/20/2019   16:25:04      0.433    12.3404   3.887089    0.00000    0.00000      0.430    33.5930  1025.4336
 09/20/2019   16:25:06      0.400    12.3433   3.887301    0.00000    0.00000      0.397    33.5924  1025.4324
 09/20/2019   16:25:08      0.439    12.3457   3.887576    0.00000    0.00000      0.436    33.5929  1025.4325
 09/20/2019   16:25:10      0.399    12.3479   3.887858    0.00000    0.00000      0.396    33.5937  1025.4325
 09/20/2019   16:25:12      0.407    12.3499   3.888081    0.00000    0.00000      0.405    33.5940  1025.4325
 09/20/2019   16:25:14      0.411    12.3491   3.888269    0.00000    0.00000      0.408    33.5965  1025.4345
 09/20/2019   16:25:16      0.424    12.3509   3.888467    0.00000    0.00000      0.421    33.5969  1025.4345
 09/20/2019   16:25:18      0.399    12.3525   3.888685    0.00000    0.00000      0.396    33.5975  1025.4346
 09/20/2019   16:25:20      0.431    12.3532   3.888783    0.00000    0.00000      0.428    33.5978  1025.4349
