 mm/dd/yyyy   hh:mm:ss       PrdM     Tv290C      C0S/m      DepSM      Sal00  Density00
 06/23/2020   18:35:13     93.876    12.2262   4.384715     93.149    38.5107  1029.6922
 06/23/2020   18:35:15     93.973    12.2004   4.384290     93.245    38.5330  1029.7152
 06/23/2020   18:35:17     93.795    12.1907   4.382592     93.069    38.5264  1029.7112
 06/23/2020   18:35:19     93.853    12.1778   4.383311     93.127    38.5468  1029.7299
 06/23/2020   18:35:21     93.932    12.1715   4.382405     93.205    38.5443  1029.7296
 06/23/2020   18:35:23     93.899    12.1598   4.379442     93.172    38.5272  1029.7185
 06/23/2020   18:35:25     94.032    12.1490   4.380076     93.305    38.5446  1029.7348
 06/23/2020   18:35:27     93.755    12.1373   4.379553     93.029    38.5516  1029.7413
 06/23/2020   18:35:29     93.968    12.1380   4.377495     93.241    38.5304  1029.7257
 06/23/2020   18:35:31     94.003    12.1276   4.375794     93.275    38.5244  1029.7233
 06/23/2020   18:35:33     93.880    12.1305   4.373299     93.153    38.4968  1029.7007
 06/23/2020   18:35:35     93.906    12.1234   4.372817     93.180    38.4994  1029.7042
 06/23/2020   18:35:37     93.977    12.1259   4.372716     93.250    38.4957  1029.7012
 06/23/2020   18:35:39     93.887    12.1229   4.379324     93.160    38.5642  1029.7546
 06/23/2020   18:35:41     93.962    12.1118   4.379283     93.235    38.5752  1029.7658
 06/23/2020   18:35:43     93.991    12.0990   4.364075     93.264    38.4382  1029.6619
 06/23/2020   18:35:45     93.881    12.1136   4.347403     93.155    38.2585  1029.5189
 06/23/2020   18:35:47     94.014    12.1200   4.381394     93.287    38.5876  1029.7739
 06/23/2020   18:35:49     93.843    12.0958   4.380070     93.117    38.5997  1029.7875
 06/23/2020   18:35:51     94.089    12.0773   4.378985     93.361    38.6080  1029.7988
 06/23/2020   18:35:53     93.869    12.0671   4.378479     93.143    38.6137  1029.8042
 06/23/2020   18:35:55     94.001    12.0642   4.377589     93.274    38.6078  1029.8008
 06/23/2020   18:35:57     93.808    12.0548   4.377311     93.082    38.6149  1029.8074
 06/23/2020   18:35:59     94.085    12.0504   4.376124     93.357    38.6075  1029.8038
 06/23/2020   18:36:01     93.914    12.0438   4.375605     93.187    38.6094  1029.8058
 06/23/2020   18:36:03     94.024    12.0358   4.374945     93.296    38.6111  1029.8092
 06/23/2020   18:36:05     93.997    12.0307   4.374113     93.270    38.6081  1029.8078
 06/23/2020   18:36:07     93.833    12.0294   4.374057     93.107    38.6090  1029.8080
 06/23/2020   18:36:09     94.151    12.0292   4.373876     93.422    38.6072  1029.8081
 06/23/2020   18:36:11     93.835    12.0231   4.373549     93.109    38.6105  1029.8104
 06/23/2020   18:36:13     93.958    12.0216   4.372553     93.231    38.6022  1029.8048
 06/23/2020   18:36:15     94.074    12.0204   4.372797     93.346    38.6057  1029.8083
 06/23/2020   18:36:17     93.939    12.0166   4.372276     93.212    38.6046  1029.8076
 06/23/2020   18:36:19     94.060    12.0136   4.372797     93.333    38.6129  1029.8152
 06/23/2020   18:36:21     93.948    12.0129   4.372328     93.221    38.6089  1029.8118
 06/23/2020   18:36:23     94.007    12.0138   4.372208     93.279    38.6068  1029.8102
 06/23/2020   18:36:25     93.968    12.0142   4.372066     93.241    38.6050  1029.8086
 06/23/2020   18:36:27     93.932    12.0115   4.371524     93.206    38.6024  1029.8069
 06/23/2020   18:36:29     94.105    12.0091   4.371681     93.377    38.6063  1029.8112
 06/23/2020   18:36:31     93.993    12.0084   4.370919     93.265    38.5996  1029.8057
 06/23/2020   18:36:33     93.949    12.0078   4.370681     93.222    38.5979  1029.8042
 06/23/2020   18:36:35     94.033    12.0047   4.371103     93.305    38.6053  1029.8110
 06/23/2020   18:36:37     94.078    12.0038   4.370760     93.350    38.6028  1029.8094
 06/23/2020   18:36:39     93.937    12.0033   4.370458     93.210    38.6003  1029.8070
 06/23/2020   18:36:41     94.103    12.0043   4.370241     93.375    38.5971  1029.8050
 06/23/2020   18:36:43     93.861    12.0040   4.369957     93.135    38.5947  1029.8021
 06/23/2020   18:36:45     94.149    12.0019   4.370193     93.420    38.5991  1029.8072
 06/23/2020   18:36:47     94.008    11.9993   4.369915     93.280    38.5991  1029.8071
 06/23/2020   18:36:49     93.944    11.9993   4.369153     93.217    38.5915  1029.8010
 06/23/2020   18:36:51     94.072    11.9998   4.369762     93.344    38.5971  1029.8058
 06/23/2020   18:36:53     94.004    11.9997   4.369135     93.277    38.5909  1029.8007
 06/23/2020   18:36:55     94.037    11.9986   4.369392     93.309    38.5946  1029.8039
 06/23/2020   18:36:57     94.029    11.9981   4.368922     93.301    38.5905  1029.8008
 06/23/2020   18:36:59     94.081    11.9987   4.367902     93.352    38.5798  1029.7925
