year,month,day,39N,38N
1988,1,1,-0.159,-0.363
1988,1,2,-0.718,-0.791
1988,1,3,-1.724,-1.444
1988,1,4,-0.202,-0.369
1988,1,5,0.301,0.198
1988,1,6,0.632,0.081
1988,1,7,0.119,-0.094
1988,1,8,0.213,0.091
1988,1,9,0.043,-0.203
1988,1,10,-0.359,-0.242
1988,1,11,0.709,0.466
1988,1,12,0.042,0.138
1988,1,13,-0.578,-0.283
1988,1,14,-0.995,-0.36
1988,1,15,0.175,0.061
1988,1,16,0.414,0.206
1988,1,17,1.831,1
1988,1,18,2.165,1.984
1988,1,19,1.702,0.535
1988,1,20,-0.156,-0.592
1988,1,21,0.821,0.626
1988,1,22,0.743,-0.016
1988,1,23,-0.362,-0.122
1988,1,24,-0.179,0.265
1988,1,25,0.547,-0.104
1988,1,26,-0.097,0.048
1988,1,27,-0.094,-0.165
1988,1,28,-0.402,-0.284
1988,1,29,-0.214,0.152
1988,1,30,1.049,0.645
1988,1,31,0.971,0.44
1988,2,1,0.869,0.323
1988,2,2,0.838,0.252
1988,2,3,0.628,0.066
1988,2,4,0.212,-0.159
1988,2,5,0.184,0.083
1988,2,6,0.632,0.439
1988,2,7,1.13,0.893
1988,2,8,1.052,0.765
1988,2,9,1.223,0.9
1988,2,10,1.94,0.772
1988,2,11,0.733,-0.066
1988,2,12,0.207,-0.081
1988,2,13,2.035,1.336
1988,2,14,1.36,0.924
1988,2,15,1.891,1.193
1988,2,16,3.225,2.016
1988,2,17,0.823,0.368
1988,2,18,3.402,2.492
1988,2,19,0.826,0.002
1988,2,20,-0.531,-0.361
1988,2,21,-0.331,0.03
1988,2,22,0.874,0.548
1988,2,23,0.132,0.053
1988,2,24,-0.139,-0.209
1988,2,25,0.058,0.002
1988,2,26,0.081,-0.084
1988,2,27,-0.136,-0.218
1988,2,28,-0.994,-0.72
1988,2,29,-0.455,-0.315
1988,3,1,0.739,1.154
1988,3,2,2.007,1.879
1988,3,3,1.136,0.691
1988,3,4,0.287,0.077
1988,3,5,0.504,-0.22
1988,3,6,0.61,-0.157
1988,3,7,1.604,0.943
1988,3,8,0.973,0.298
1988,3,9,1.88,1.227
1988,3,10,2.295,1.367
1988,3,11,0.642,0.204
1988,3,12,-0.23,0.103
1988,3,13,-0.156,0.062
1988,3,14,0.032,0.359
1988,3,15,0.386,0.463
1988,3,16,0.39,0.146
1988,3,17,0.845,0.067
1988,3,18,-0.303,-0.37
1988,3,19,0.439,0.224
1988,3,20,1.369,0.872
1988,3,21,0.959,-0.11
1988,3,22,0.266,-0.411
1988,3,23,0.655,0.076
1988,3,24,2.616,2.154
1988,3,25,2.332,1.209
1988,3,26,2.62,1.161
1988,3,27,6.979,4.771
1988,3,28,5.526,2.527
1988,3,29,2.894,1.438
1988,3,30,4.385,2.674
1988,3,31,0.974,-0.795
1988,4,1,-1.027,-1.186
1988,4,2,-0.478,-0.772
1988,4,3,0.175,-0.645
1988,4,4,1.572,0.815
1988,4,5,1.962,0.891
1988,4,6,1.322,-0.616
1988,4,7,2.103,0.886
1988,4,8,0.516,-0.529
1988,4,9,0.501,-0.788
1988,4,10,0.805,-0.566
1988,4,11,1.106,-0.467
1988,4,12,0.303,-0.632
1988,4,13,0.056,-0.414
1988,4,14,0.542,-0.137
1988,4,15,2.091,0.753
1988,4,16,1.683,0.811
1988,4,17,0.648,0.235
1988,4,18,-0.241,-0.308
1988,4,19,-1.11,-0.964
1988,4,20,-0.132,-0.231
1988,4,21,0.941,0.459
1988,4,22,0.703,-0.057
1988,4,23,0.525,-0.066
1988,4,24,0.58,-0.151
1988,4,25,0.805,0.317
1988,4,26,0.49,0.045
1988,4,27,0.166,-0.325
1988,4,28,-0.591,-0.53
1988,4,29,0.214,-0.044
1988,4,30,2.647,2.066
1988,5,1,3.619,3.117
1988,5,2,2.771,1.745
1988,5,3,2.761,1.313
1988,5,4,3.65,2.143
1988,5,5,1.861,0.125
1988,5,6,0.223,-0.35
1988,5,7,0.41,-0.406
1988,5,8,-0.134,-0.588
1988,5,9,-0.712,-0.497
1988,5,10,0.423,0.173
1988,5,11,0.513,-0.035
1988,5,12,-0.388,-0.22
1988,5,13,0.35,0.509
1988,5,14,1.309,0.976
1988,5,15,0.976,0.481
1988,5,16,0.302,0.194
1988,5,17,2.057,1.666
1988,5,18,2.205,1.58
1988,5,19,2.652,0.848
1988,5,20,1.398,0.486
1988,5,21,0.439,0.168
1988,5,22,3.462,2.086
1988,5,23,5.862,3.565
1988,5,24,1.253,0.203
1988,5,25,0.958,0.027
1988,5,26,0.148,-0.47
1988,5,27,0.527,0.083
1988,5,28,0.487,0.248
1988,5,29,1.751,1.183
1988,5,30,1.041,0.824
1988,5,31,0.342,-0.276
1988,6,1,0.174,-0.341
1988,6,2,0.178,0.14
1988,6,3,1.077,0.55
1988,6,4,0.567,-0.029
1988,6,5,2.062,1.132
1988,6,6,0.61,0.043
1988,6,7,-0.179,-0.297
1988,6,8,-0.517,-0.153
1988,6,9,0.442,0.293
1988,6,10,1.811,1.087
1988,6,11,1.369,0.521
1988,6,12,1.967,1.025
1988,6,13,1.773,0.909
1988,6,14,1.138,0.427
1988,6,15,1.1,0.343
1988,6,16,1.155,0.653
1988,6,17,2.278,1.406
1988,6,18,2.407,1.448
1988,6,19,2.378,0.944
1988,6,20,1.893,0.378
1988,6,21,0.89,0.33
1988,6,22,1.419,0.738
1988,6,23,1.77,1.03
1988,6,24,3.859,2.417
1988,6,25,1.601,0.505
1988,6,26,1.329,0.666
1988,6,27,3.086,2.036
1988,6,28,5.171,4.052
1988,6,29,3.857,2.335
1988,6,30,3.221,1.52
1988,7,1,2.343,1.23
1988,7,2,1.055,0.256
1988,7,3,1.622,0.239
1988,7,4,1.615,0.192
1988,7,5,1.475,0.832
1988,7,6,3.327,1.983
1988,7,7,2.146,0.943
1988,7,8,0.695,-0.119
1988,7,9,2.212,1.176
1988,7,10,2.646,1.429
1988,7,11,1.713,0.77
1988,7,12,0.537,0.123
1988,7,13,0.975,0.181
1988,7,14,0.841,0.118
1988,7,15,1.02,0.204
1988,7,16,2.969,1.34
1988,7,17,2.264,0.894
1988,7,18,0.322,-0.246
1988,7,19,0.302,-0.009
1988,7,20,0.637,-0.02
1988,7,21,0.802,0.057
1988,7,22,0.778,-0.048
1988,7,23,0.499,0.152
1988,7,24,0.365,0.375
1988,7,25,0.54,0.392
1988,7,26,0.917,0.649
1988,7,27,0.67,-0.4
1988,7,28,2.159,0.98
1988,7,29,2.577,1.763
1988,7,30,1.636,0.902
1988,7,31,0.216,0.111
1988,8,1,0.744,0.163
1988,8,2,0.345,-0.133
1988,8,3,-0.203,-0.39
1988,8,4,0.164,-0.002
1988,8,5,0.096,-0.041
1988,8,6,-0.33,-0.622
1988,8,7,1.073,0.307
1988,8,8,2.849,1.696
1988,8,9,1.046,0.496
1988,8,10,0.405,-0.092
1988,8,11,0.455,0.06
1988,8,12,0.269,0.504
1988,8,13,0.696,0.662
1988,8,14,1.553,0.964
1988,8,15,2.393,1.654
1988,8,16,1.037,0.57
1988,8,17,1.951,1.059
1988,8,18,3.32,2.3
1988,8,19,1.385,0.568
1988,8,20,-0.388,-0.385
1988,8,21,-0.265,-0.161
