date,sample,site,location,depth,split,species,stage,count,total,spStage
2019-09-20T00:00:00Z,412,mp,onshore,surface,4,alpheidae,zoea1,1,4,alpheidae_zoea1
2019-07-18T00:00:00Z,121,mp,front,bottom,16,amphipod,adult,1,16,amphipod_adult
2019-07-18T00:00:00Z,132,mp,offshore,surface,8,amphipod,adult,1,8,amphipod_adult
2019-08-15T00:00:00Z,312,mp,onshore,surface,8,amphipod,adult,2,16,amphipod_adult
2019-09-20T00:00:00Z,412,mp,onshore,surface,4,amphipod,adult,2,8,amphipod_adult
2019-09-20T00:00:00Z,421,mp,front,bottom,16,amphipod,adult,4,64,amphipod_adult
2019-09-20T00:00:00Z,425,mp,front,surface,32,amphipod,adult,1,32,amphipod_adult
2019-09-29T00:00:00Z,431,mp,offshore,bottom,128,amphipod,adult,2,256,amphipod_adult
2020-06-23T00:00:00Z,512,mp,onshore,surface,8,amphipod,adult,1,8,amphipod_adult
2020-06-23T00:00:00Z,521,bb,front,bottom,2,amphipod,adult,3,6,amphipod_adult
2020-06-23T00:00:00Z,522,bb,front,surface,8,amphipod,adult,2,16,amphipod_adult
2020-06-23T00:00:00Z,531,bb,offshore,bottom,2,amphipod,adult,1,2,amphipod_adult
2020-06-23T00:00:00Z,535,mp,offshore,surface,8,amphipod,adult,1,8,amphipod_adult
2020-06-23T00:00:00Z,533,bb,offshore,neuston,8,amphipod,adult,42,336,amphipod_adult
2020-10-06T00:00:00Z,1022,mp,front,surface,32,amphipod,adult,1,32,amphipod_adult
2020-09-30T00:00:00Z,912,mp,onshore,surface,8,annelid,setiger,2,16,annelid_setiger
2020-06-23T00:00:00Z,521,bb,front,bottom,2,ascidian,eggcase,1,2,ascidian_eggcase
2019-09-20T00:00:00Z,421,mp,front,bottom,16,ascidian,larva,1,16,ascidian_larva
2020-06-23T00:00:00Z,521,bb,front,bottom,16,ascidian,tadpole,2,32,ascidian_tadpole
2020-06-23T00:00:00Z,521,bb,front,bottom,2,ascidian,tadpole,4,8,ascidian_tadpole
2020-06-23T00:00:00Z,522,bb,front,surface,8,ascidian,tadpole,2,16,ascidian_tadpole
2020-06-23T00:00:00Z,511,bb,onshore,bottom,32,asterinidae,brachiolaria,1,32,asterinidae_brachiolaria
2020-09-30T00:00:00Z,921,mp,front,bottom,64,asteroidea,bipinnaria,1,64,asteroidea_bipinnaria
2020-06-30T00:00:00Z,622,mp,front,surface,4,aurelia.aureta,medusa,1,4,aurelia.aureta_medusa
2020-06-23T00:00:00Z,536,mp,offshore,surface,8,aurelia.spp,medusa,1,8,aurelia.spp_medusa
2020-10-06T00:00:00Z,1011,mp,onshore,bottom,16,balanus.balanus,cyprid,1,16,balanus.balanus_cyprid
2020-10-06T00:00:00Z,1031,mp,offshore,bottom,32,balanus.balanus,cyprid,1,32,balanus.balanus_cyprid
2019-07-18T00:00:00Z,122,mp,front,surface,8,balanus.balanus,nauplius,1,8,balanus.balanus_nauplius
2019-07-18T00:00:00Z,132,mp,offshore,surface,64,balanus.balanus,zoea4.5,3,192,balanus.balanus_zoea4.5
2019-07-18T00:00:00Z,121,mp,front,bottom,256,balanus.crenatus,cyprid,12,3072,balanus.crenatus_cyprid
2019-07-18T00:00:00Z,122,mp,front,surface,64,balanus.crenatus,cyprid,3,192,balanus.crenatus_cyprid
2019-07-18T00:00:00Z,131,mp,offshore,bottom,32,balanus.crenatus,cyprid,2,64,balanus.crenatus_cyprid
